model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,4,3,3,1,5,3,4,4	0.000111111	0.914778	<1e-06	>111.123
0,1,2,3,4,4,2,5,6,7,5,0,0	0.000111111	0.914889	<1e-06	>111.123
0,1,2,3,4,4,2,5,6,7,8,9,10	0.000111111	0.915	7.2e-05	1.54327
0,1,2,3,4,4,2,5,6,7,8,4,4	0.000111111	0.915111	<1e-06	>111.123
0,1,2,3,4,4,2,5,6,7,5,4,8	0.000111111	0.915222	<1e-06	>111.123
0,1,2,3,4,4,2,2,1,1,2,4,4	0.000111111	0.915333	<1e-06	>111.123
0,1,2,3,4,4,5,6,7,8,0,9,4	0.000111111	0.915444	9e-06	12.3469
0,1,2,3,4,0,5,6,7,8,9,10,11	0.000111111	0.915556	0.002245	0.0493871
0,1,2,3,4,4,5,6,1,7,8,4,9	0.000111111	0.915667	5e-06	22.2246
0,1,2,3,4,4,1,2,1,5,2,4,0	0.000111111	0.915778	<1e-06	>111.123
0,1,2,3,4,4,1,2,5,6,2,0,0	0.000111111	0.915889	<1e-06	>111.123
0,1,2,3,4,4,1,2,5,6,2,4,4	0.000111111	0.916	<1e-06	>111.123
0,1,2,3,4,4,1,5,6,7,2,8,4	0.000111111	0.916111	<1e-06	>111.123
0,1,2,3,4,4,5,6,1,7,8,4,4	0.000111111	0.916222	<1e-06	>111.123
0,1,2,3,4,4,1,5,6,7,5,0,4	0.000111111	0.916333	1e-06	111.123
0,1,2,3,4,4,5,6,1,7,5,4,4	0.000111111	0.916444	<1e-06	>111.123
0,1,2,3,4,4,2,2,1,1,2,0,4	0.000111111	0.916556	<1e-06	>111.123
0,1,2,3,4,4,5,6,1,7,5,0,4	0.000111111	0.916667	<1e-06	>111.123
0,1,2,3,4,4,5,6,1,7,3,4,4	0.000111111	0.916778	<1e-06	>111.123
0,1,2,3,4,4,5,6,1,7,3,0,4	0.000111111	0.916889	<1e-06	>111.123
0,1,2,3,4,5,2,2,6,7,2,8,9	0.000111111	0.917	1.7e-05	6.53656
0,1,2,3,4,4,5,6,1,7,2,0,8	0.000111111	0.917111	<1e-06	>111.123
0,1,2,3,4,4,5,5,6,7,8,4,0	0.000111111	0.917222	<1e-06	>111.123
0,1,2,3,4,4,5,5,6,7,8,0,9	0.000111111	0.917333	7e-06	15.8747
0,1,2,3,4,4,5,5,6,7,5,4,8	0.000111111	0.917444	<1e-06	>111.123
0,1,2,3,4,4,2,2,1,5,6,0,3	0.000111111	0.917556	<1e-06	>111.123
0,1,2,3,4,4,2,2,1,5,6,0,4	0.000111111	0.917667	<1e-06	>111.123
0,1,2,3,4,4,2,2,5,1,2,3,4	0.000111111	0.917778	<1e-06	>111.123
0,1,2,3,4,4,5,5,6,7,3,0,4	0.000111111	0.917889	<1e-06	>111.123
0,1,2,3,4,4,5,5,6,6,2,4,4	0.000111111	0.918	<1e-06	>111.123
0,1,2,3,4,4,2,2,5,1,3,4,0	0.000111111	0.918111	<1e-06	>111.123
0,1,2,3,4,4,2,2,5,5,2,4,0	0.000111111	0.918222	<1e-06	>111.123
0,1,2,3,4,4,5,5,1,6,7,4,0	0.000111111	0.918333	1e-06	111.123
0,1,2,3,4,4,5,5,1,6,5,0,4	0.000111111	0.918444	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,3,5,0	0.000111111	0.918556	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,7,6,0,4	0.000111111	0.918667	<1e-06	>111.123
0,1,2,3,4,5,6,2,6,7,2,5,4	0.000111111	0.918778	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,7,8,0,9	0.000111111	0.918889	7e-06	15.8747
0,1,2,3,4,0,2,5,6,7,8,4,4	0.000111111	0.919	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,1,2,0,0	0.000111111	0.919111	<1e-06	>111.123
