model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,0,0,2,1,1,0,0,3,0,1,3,1,4,5,5,5,5,1,6,1	0.000666667	0.0864444	<1e-06	>667.111
0,1,0,0,2,1,1,3,0,4,3,1,5,1,1,6,6,6,6,1,7,1	0.000666667	0.0871111	<1e-06	>667.111
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,5,1	0.000555556	0.0876667	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,4,0,1,5,1,1,6,6,6,6,1,5,1	0.000555556	0.0882222	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,5,5,5,1,4,1	0.000555556	0.0887778	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,1,1,3,1,1,0,4,4,4,1,3,1	0.000555556	0.0893333	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,4,0,1,5,1,1,6,6,6,6,1,7,1	0.000555556	0.0898889	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,1,0,1,4,1,3,5,5,5,5,1,6,1	0.000555556	0.0904444	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,6,6,6,6,1,2,1	0.000555556	0.091	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,4,1,5,1,6,7,7,7,7,1,8,1	0.000555556	0.0915556	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,5,5,5,1,4,6	0.000555556	0.0921111	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,1,0,1,4,1,3,5,5,5,5,1,4,1	0.000555556	0.0926667	<1e-06	>555.864
0,1,0,0,2,3,3,0,0,3,0,3,4,3,3,5,5,5,5,3,4,3	0.000555556	0.0932222	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,3,5	0.000555556	0.0937778	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,1,1,1,2,1,1,3,3,3,3,1,2,1	0.000444444	0.0942222	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,1,1,3,1,4,5,5,5,5,1,6,1	0.000444444	0.0946667	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,0,4,4,4,1,3,1	0.000444444	0.0951111	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,0,5,5,5,1,6,1	0.000444444	0.0955556	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,0,4,4,4,1,2,1	0.000444444	0.096	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,6,6,6,1,7,1	0.000444444	0.0964444	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,3,1,4,1,5,6,6,6,6,1,4,1	0.000444444	0.0968889	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,1,4,1,5,1,1,6,6,6,6,1,2,1	0.000444444	0.0973333	<1e-06	>444.642
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,2,2,2,2,1,4,1	0.000444444	0.0977778	<1e-06	>444.642
0,1,0,0,2,3,3,0,0,3,0,3,4,3,3,5,5,5,5,3,6,3	0.000444444	0.0982222	<1e-06	>444.642
0,1,2,0,3,1,1,0,0,1,4,1,5,1,1,6,6,6,6,1,5,1	0.000444444	0.0986667	<1e-06	>444.642
0,1,0,0,2,3,1,0,0,4,5,1,6,1,1,7,7,7,7,1,8,1	0.000444444	0.0991111	<1e-06	>444.642
0,1,0,0,2,3,1,0,0,4,0,1,4,1,1,5,5,5,5,1,4,1	0.000444444	0.0995556	<1e-06	>444.642
0,1,0,0,2,3,1,0,0,1,4,1,5,1,1,6,7,7,7,1,8,1	0.000444444	0.1	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,4,5,1,6,1,1,7,7,7,7,1,8,1	0.000444444	0.100444	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,4,3,1,5,1,1,6,6,6,6,1,5,1	0.000444444	0.100889	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,4,3,1,4,1,1,5,5,5,5,1,6,1	0.000444444	0.101333	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,1,4,1,5,1,1,6,6,6,6,1,5,1	0.000444444	0.101778	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,3,5	0.000444444	0.102222	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,1,3,1,4,1,1,0,5,5,5,1,4,1	0.000444444	0.102667	<1e-06	>444.642
0,1,0,0,2,1,1,3,0,1,0,1,4,1,1,5,5,5,5,1,6,1	0.000444444	0.103111	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,6,6,6,1,7,1	0.000444444	0.103556	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,5,5,5,6,3,1	0.000444444	0.104	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,0,1,2,1,1,0,3,3,3,1,2,1	0.000444444	0.104444	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,1,1,3,1,1,4,4,4,4,1,5,1	0.000444444	0.104889	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,0,4,5,1,1,6,6,6,6,1,5,1	0.000444444	0.105333	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,3,6,1	0.000444444	0.105778	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,3,4,1	0.000444444	0.106222	<1e-06	>444.642
