number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
5	0.353111	0.353111	0.168365	2.69627
4	0.280556	0.633667	0.128561	2.64332
6	0.236333	0.87	0.191849	1.30363
7	0.100111	0.970111	0.179171	0.509657
8	0.0272222	0.997333	0.121801	0.201768
9	0.00266667	1	0.045256	0.0564078
1	<0.000111111	1	0.024407	<0.00444181
2	<0.000111111	1	0.052726	<0.00199644
3	<0.000111111	1	0.087864	<0.0011536
