number_of_events	post_prob	prior_prob	bf
1	0.0296	0.024552	1.2118759598216
2	0.0914	0.052073	1.83119990896134
3	0.1561	0.087557	1.92764380612929
4	0.1881	0.128861	1.56621801119259
5	0.1872	0.168283	1.13830195628932
6	0.1664	0.192216	0.838882872251762
7	0.1117	0.179006	0.576721186670788
8	0.0545	0.12244	0.413131650102076
9	0.015	0.045012	0.323090830600841
