parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
pop_size_comparison2pop2	500	1.0026766817392132	3505.5505094998043	441.11739513184745	322.7358927623791	501.0	501.0	307.9134032226709	460.7128612212333	501.0	501.0	501.0	365.25289526870523
pop_size_root_comparison2pop1	500	1.0010805219205572	3953.5267085060814	501.0	492.34737120792704	431.1488030854013	501.0	404.55102637928803	403.483731406588	501.0	486.17315071673477	501.0	501.0
ln_likelihood_comparison3pop1	500	1.0000301091221275	5010.0	501.0	501.0	501.0	354.6452999488752	501.0	501.0	438.69357962902	501.0	501.0	409.01535207124465
root_height_comparison3pop1	500	0.9996866532983316	5010.0	384.06742712143733	501.0	501.0	501.0	412.0389301289807	501.0	501.0	501.0	501.0	472.9133994988907
pop_size_comparison3pop1	500	1.0003065039009915	5010.0	501.0	501.0	501.0	283.6344750889294	405.8025668984623	501.0	466.9747943896079	501.0	501.0	444.4922772067892
pop_size_comparison3pop2	500	1.0001094110838078	5010.0	501.0	501.0	501.0	501.0	413.1606126116419	501.0	352.3113318505296	501.0	501.0	501.0
pop_size_root_comparison3pop1	500	1.000212818002345	5010.0	501.0	501.0	304.1984322684059	501.0	320.711299719056	501.0	501.0	499.90752544392114	366.99541292381684	455.2808046337436
ln_likelihood_comparison7pop1	500	0.9996266307224838	5007.98297227062	501.0	501.0	501.0	325.8605810440043	501.0	389.8597226079748	372.96495476507715	366.1811718707986	491.3258680856444	501.0
root_height_comparison7pop1	500	1.0007533805869995	4351.560005352663	427.74084590314357	435.81267795771066	392.3570545161039	455.70157222469265	500.5459740911885	433.1041886580628	501.0	491.89634052989413	488.0680797703739	453.70720371197666
pop_size_comparison7pop1	500	0.9992797773564783	5010.0	501.0	501.0	501.0	501.0	501.0	501.0	501.0	501.0	411.3876273461013	501.0
pop_size_comparison7pop2	500	1.0003114696071884	4309.514690072002	392.5394083625431	449.908951084743	373.80788844303976	421.7194832711721	433.8694731223181	445.2971152270148	380.2574857341875	501.0	501.0	382.44482470202234
pop_size_root_comparison7pop1	500	0.9999510503582247	5010.0	454.1377628844112	501.0	501.0	355.53928106984847	393.6745319619863	501.0	456.00189797356893	501.0	392.4238874046967	501.0
ln_likelihood_comparison8pop1	500	1.001245477172539	3892.136321106003	420.6386367830519	501.0	295.52826893960827	501.0	501.0	501.0	501.0	408.3933893935235	496.68190018826084	501.0
root_height_comparison8pop1	500	0.9997794187440363	5010.0	303.17846867975584	434.22456129019173	380.84180117541104	426.7373633650035	501.0	425.5522059843859	500.0480820455437	501.0	477.23269962532316	501.0
pop_size_comparison8pop1	500	1.0001376308497705	5010.0	440.5299253130126	475.6975360051969	501.0	501.0	501.0	495.46707674490494	451.15373125704235	419.0155752114029	439.96922970717014	501.0
pop_size_comparison8pop2	500	1.0004488381520873	5010.0	501.0	501.0	383.7970992631238	501.0	501.0	463.77273630919916	467.58791899467974	501.0	501.0	501.0
pop_size_root_comparison8pop1	500	1.0002362424862217	5010.0	501.0	496.7437487859899	501.0	361.5660812516515	501.0	484.58557987322723	501.0	501.0	456.83975529520256	501.0
ln_likelihood_comparison10pop1	500	1.0002739800406113	5010.0	501.0	501.0	501.0	501.0	501.0	329.44485197118655	501.0	501.0	501.0	383.35669132536077
root_height_comparison10pop1	500	0.9994830073616209	5010.0	501.0	486.8333167650065	279.17743851618775	297.55614868221585	308.4835588573952	501.0	353.4073475761924	501.0	365.2617603912319	501.0
pop_size_comparison10pop1	500	1.00126655862328	4764.062440824504	501.0	380.19251691068416	501.0	501.0	501.0	462.2940076929587	489.3235473539234	501.0	384.77760196674296	501.0
pop_size_comparison10pop2	500	1.0001153912281997	5010.0	490.8320286204013	501.0	501.0	413.19803867736425	380.1890350178206	501.0	501.0	501.0	485.4984366720548	477.47018943030355
pop_size_root_comparison10pop1	500	1.0002274778722957	5010.0	453.123525150923	501.0	501.0	501.0	501.0	501.0	501.0	501.0	398.61207219371994	501.0
ln_likelihood_comparison11pop1	500	0.9999837183550416	5010.0	501.0	501.0	501.0	388.0939655439221	501.0	501.0	501.0	501.0	501.0	501.0
root_height_comparison11pop1	500	0.9997662859594797	3927.7320609682256	344.9330945887093	396.9929560488748	304.4996086616908	253.85788283418432	413.27338399124324	365.3537752113883	263.6364513855053	383.3546876842121	260.6067401674788	378.84013378635063
pop_size_comparison11pop1	500	0.999893265680872	5010.0	501.0	501.0	501.0	501.0	501.0	371.3730952606848	501.0	501.0	501.0	497.0939210082687
pop_size_comparison11pop2	500	0.9991191588760147	3599.934797046069	261.1178650426275	439.6856297438905	372.7476738598929	241.6885306483586	268.8429043293222	371.6096418147322	338.80259299445515	409.13168308613416	256.57334311087135	290.4426101865495
pop_size_root_comparison11pop1	500	1.0001653096465732	5010.0	501.0	501.0	501.0	415.81375855589243	501.0	399.6542831046865	501.0	501.0	501.0	472.39568488859976
ln_likelihood	600	1.0001619148950822	4010.0	401.0	401.0	401.0	401.0	395.80768064563495	400.9994033056068	238.18883565861486	401.0	401.0	401.0
concentration	600	0.9997571643549623	3466.748009826136	401.0	194.6261891880058	260.8988196992355	314.7797287565408	280.5465246070716	399.0963998828606	326.35525343037153	167.52894340759823	326.1279857009123	401.0
ln_likelihood_comparison2pop1	600	1.000726565292481	4010.0	401.0	377.1348547486872	401.0	401.0	398.5867618482493	395.7632899226873	401.0	329.4297052872616	401.0	401.0
root_height_comparison2pop1	600	1.0005318221135941	3363.8105682602927	401.0	401.0	401.0	381.22444414413985	401.0	401.0	401.0	286.63884245691366	401.0	327.061607296189
pop_size_comparison2pop1	600	0.9998396167756529	4010.0	273.38706264826203	324.1817932743606	365.38802730699535	401.0	401.0	247.47778572309352	401.0	336.30688228927266	401.0	401.0
pop_size_comparison2pop2	600	1.0032180639844783	2820.3856713982245	347.1774845872081	376.60292788857424	401.0	325.2171806477257	287.6291567247751	352.6123251861086	401.0	401.0	401.0	401.0
