divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,1,2,0,3,1,3,3,0,3	0.001	7.57605622414e-15	0:0.00061380761[&age_median=0.00061380761,age_mean=0.00061380761,age_n=1,age_range={0.00061380761,0.00061380761},age_hpdi_95={0.00061380761,0.00061380761},age_qi_95={0.00061380761,0.00061380761}],1:0.00569447511[&age_median=0.00569447511,age_mean=0.00569447511,age_n=1,age_range={0.00569447511,0.00569447511},age_hpdi_95={0.00569447511,0.00569447511},age_qi_95={0.00569447511,0.00569447511}],2:4.042075e-05[&age_median=4.042075e-05,age_mean=4.042075e-05,age_n=1,age_range={4.042075e-05,4.042075e-05},age_hpdi_95={4.042075e-05,4.042075e-05},age_qi_95={4.042075e-05,4.042075e-05}],3:0.00158318045[&age_median=0.00158318045,age_mean=0.00158318045,age_n=1,age_range={0.00158318045,0.00158318045},age_hpdi_95={0.00158318045,0.00158318045},age_qi_95={0.00158318045,0.00158318045}]
0,1,2,3,3,4,5,1,2,2,5	0.001	8.07227140699e-15	0:0.00084001296[&age_median=0.00084001296,age_mean=0.00084001296,age_n=1,age_range={0.00084001296,0.00084001296},age_hpdi_95={0.00084001296,0.00084001296},age_qi_95={0.00084001296,0.00084001296}],1:0.00410254174[&age_median=0.00410254174,age_mean=0.00410254174,age_n=1,age_range={0.00410254174,0.00410254174},age_hpdi_95={0.00410254174,0.00410254174},age_qi_95={0.00410254174,0.00410254174}],2:0.0020665859[&age_median=0.0020665859,age_mean=0.0020665859,age_n=1,age_range={0.0020665859,0.0020665859},age_hpdi_95={0.0020665859,0.0020665859},age_qi_95={0.0020665859,0.0020665859}],3:0.00063186273[&age_median=0.00063186273,age_mean=0.00063186273,age_n=1,age_range={0.00063186273,0.00063186273},age_hpdi_95={0.00063186273,0.00063186273},age_qi_95={0.00063186273,0.00063186273}],4:0.00293288091[&age_median=0.00293288091,age_mean=0.00293288091,age_n=1,age_range={0.00293288091,0.00293288091},age_hpdi_95={0.00293288091,0.00293288091},age_qi_95={0.00293288091,0.00293288091}],5:0.0001708485[&age_median=0.0001708485,age_mean=0.0001708485,age_n=1,age_range={0.0001708485,0.0001708485},age_hpdi_95={0.0001708485,0.0001708485},age_qi_95={0.0001708485,0.0001708485}]
0,1,2,3,3,4,5,3,1,0,0	0.001	8.59734664062e-15	0:0.00114527382[&age_median=0.00114527382,age_mean=0.00114527382,age_n=1,age_range={0.00114527382,0.00114527382},age_hpdi_95={0.00114527382,0.00114527382},age_qi_95={0.00114527382,0.00114527382}],1:0.00162464494[&age_median=0.00162464494,age_mean=0.00162464494,age_n=1,age_range={0.00162464494,0.00162464494},age_hpdi_95={0.00162464494,0.00162464494},age_qi_95={0.00162464494,0.00162464494}],2:1.04916e-05[&age_median=1.04916e-05,age_mean=1.04916e-05,age_n=1,age_range={1.04916e-05,1.04916e-05},age_hpdi_95={1.04916e-05,1.04916e-05},age_qi_95={1.04916e-05,1.04916e-05}],3:0.00084677087[&age_median=0.00084677087,age_mean=0.00084677087,age_n=1,age_range={0.00084677087,0.00084677087},age_hpdi_95={0.00084677087,0.00084677087},age_qi_95={0.00084677087,0.00084677087}],4:0.00257189127[&age_median=0.00257189127,age_mean=0.00257189127,age_n=1,age_range={0.00257189127,0.00257189127},age_hpdi_95={0.00257189127,0.00257189127},age_qi_95={0.00257189127,0.00257189127}],5:0.00088385086[&age_median=0.00088385086,age_mean=0.00088385086,age_n=1,age_range={0.00088385086,0.00088385086},age_hpdi_95={0.00088385086,0.00088385086},age_qi_95={0.00088385086,0.00088385086}]
0,1,2,1,0,3,2,0,3,3,0	0.001	9.15268782736e-15	0:0.00036435425[&age_median=0.00036435425,age_mean=0.00036435425,age_n=1,age_range={0.00036435425,0.00036435425},age_hpdi_95={0.00036435425,0.00036435425},age_qi_95={0.00036435425,0.00036435425}],1:0.00042391499[&age_median=0.00042391499,age_mean=0.00042391499,age_n=1,age_range={0.00042391499,0.00042391499},age_hpdi_95={0.00042391499,0.00042391499},age_qi_95={0.00042391499,0.00042391499}],2:2.796696e-05[&age_median=2.796696e-05,age_mean=2.796696e-05,age_n=1,age_range={2.796696e-05,2.796696e-05},age_hpdi_95={2.796696e-05,2.796696e-05},age_qi_95={2.796696e-05,2.796696e-05}],3:0.00168045123[&age_median=0.00168045123,age_mean=0.00168045123,age_n=1,age_range={0.00168045123,0.00168045123},age_hpdi_95={0.00168045123,0.00168045123},age_qi_95={0.00168045123,0.00168045123}]
0,0,0,1,2,3,2,4,2,2,1	0.001	9.73975944881e-15	0:0.001567569[&age_median=0.001567569,age_mean=0.001567569,age_n=1,age_range={0.001567569,0.001567569},age_hpdi_95={0.001567569,0.001567569},age_qi_95={0.001567569,0.001567569}],1:0.00115693689[&age_median=0.00115693689,age_mean=0.00115693689,age_n=1,age_range={0.00115693689,0.00115693689},age_hpdi_95={0.00115693689,0.00115693689},age_qi_95={0.00115693689,0.00115693689}],2:0.00049539843[&age_median=0.00049539843,age_mean=0.00049539843,age_n=1,age_range={0.00049539843,0.00049539843},age_hpdi_95={0.00049539843,0.00049539843},age_qi_95={0.00049539843,0.00049539843}],3:1.399859e-05[&age_median=1.399859e-05,age_mean=1.399859e-05,age_n=1,age_range={1.399859e-05,1.399859e-05},age_hpdi_95={1.399859e-05,1.399859e-05},age_qi_95={1.399859e-05,1.399859e-05}],4:0.00100943407[&age_median=0.00100943407,age_mean=0.00100943407,age_n=1,age_range={0.00100943407,0.00100943407},age_hpdi_95={0.00100943407,0.00100943407},age_qi_95={0.00100943407,0.00100943407}]
0,0,1,1,2,3,4,1,5,5,2	0.001	1.03600357498e-14	0:0.00438222137[&age_median=0.00438222137,age_mean=0.00438222137,age_n=1,age_range={0.00438222137,0.00438222137},age_hpdi_95={0.00438222137,0.00438222137},age_qi_95={0.00438222137,0.00438222137}],1:0.00170089089[&age_median=0.00170089089,age_mean=0.00170089089,age_n=1,age_range={0.00170089089,0.00170089089},age_hpdi_95={0.00170089089,0.00170089089},age_qi_95={0.00170089089,0.00170089089}],2:0.00098521432[&age_median=0.00098521432,age_mean=0.00098521432,age_n=1,age_range={0.00098521432,0.00098521432},age_hpdi_95={0.00098521432,0.00098521432},age_qi_95={0.00098521432,0.00098521432}],3:0.00425043421[&age_median=0.00425043421,age_mean=0.00425043421,age_n=1,age_range={0.00425043421,0.00425043421},age_hpdi_95={0.00425043421,0.00425043421},age_qi_95={0.00425043421,0.00425043421}],4:0.00073734903[&age_median=0.00073734903,age_mean=0.00073734903,age_n=1,age_range={0.00073734903,0.00073734903},age_hpdi_95={0.00073734903,0.00073734903},age_qi_95={0.00073734903,0.00073734903}],5:0.00064456793[&age_median=0.00064456793,age_mean=0.00064456793,age_n=1,age_range={0.00064456793,0.00064456793},age_hpdi_95={0.00064456793,0.00064456793},age_qi_95={0.00064456793,0.00064456793}]
0,0,0,0,1,0,0,1,0,0,0	0.001	1.10152448186e-14	0:0.00066466396[&age_median=0.00066466396,age_mean=0.00066466396,age_n=1,age_range={0.00066466396,0.00066466396},age_hpdi_95={0.00066466396,0.00066466396},age_qi_95={0.00066466396,0.00066466396}],1:0.00195407049[&age_median=0.00195407049,age_mean=0.00195407049,age_n=1,age_range={0.00195407049,0.00195407049},age_hpdi_95={0.00195407049,0.00195407049},age_qi_95={0.00195407049,0.00195407049}]
0,1,0,2,1,1,1,2,1,0,1	0.001	1.17067730311e-14	0:0.00433070496[&age_median=0.00433070496,age_mean=0.00433070496,age_n=1,age_range={0.00433070496,0.00433070496},age_hpdi_95={0.00433070496,0.00433070496},age_qi_95={0.00433070496,0.00433070496}],1:0.0008759088[&age_median=0.0008759088,age_mean=0.0008759088,age_n=1,age_range={0.0008759088,0.0008759088},age_hpdi_95={0.0008759088,0.0008759088},age_qi_95={0.0008759088,0.0008759088}],2:1.293707e-05[&age_median=1.293707e-05,age_mean=1.293707e-05,age_n=1,age_range={1.293707e-05,1.293707e-05},age_hpdi_95={1.293707e-05,1.293707e-05},age_qi_95={1.293707e-05,1.293707e-05}]
0,1,2,0,3,0,4,2,5,2,2	0.001	1.24363777653e-14	0:0.00198225105[&age_median=0.00198225105,age_mean=0.00198225105,age_n=1,age_range={0.00198225105,0.00198225105},age_hpdi_95={0.00198225105,0.00198225105},age_qi_95={0.00198225105,0.00198225105}],1:0.00255930706[&age_median=0.00255930706,age_mean=0.00255930706,age_n=1,age_range={0.00255930706,0.00255930706},age_hpdi_95={0.00255930706,0.00255930706},age_qi_95={0.00255930706,0.00255930706}],2:0.00136718051[&age_median=0.00136718051,age_mean=0.00136718051,age_n=1,age_range={0.00136718051,0.00136718051},age_hpdi_95={0.00136718051,0.00136718051},age_qi_95={0.00136718051,0.00136718051}],3:0.00147269045[&age_median=0.00147269045,age_mean=0.00147269045,age_n=1,age_range={0.00147269045,0.00147269045},age_hpdi_95={0.00147269045,0.00147269045},age_qi_95={0.00147269045,0.00147269045}],4:0.00110255402[&age_median=0.00110255402,age_mean=0.00110255402,age_n=1,age_range={0.00110255402,0.00110255402},age_hpdi_95={0.00110255402,0.00110255402},age_qi_95={0.00110255402,0.00110255402}],5:0.00069886435[&age_median=0.00069886435,age_mean=0.00069886435,age_n=1,age_range={0.00069886435,0.00069886435},age_hpdi_95={0.00069886435,0.00069886435},age_qi_95={0.00069886435,0.00069886435}]
0,0,1,1,2,3,2,4,4,3,3	0.001	1.3205816399e-14	0:0.00025399062[&age_median=0.00025399062,age_mean=0.00025399062,age_n=1,age_range={0.00025399062,0.00025399062},age_hpdi_95={0.00025399062,0.00025399062},age_qi_95={0.00025399062,0.00025399062}],1:0.00044972602[&age_median=0.00044972602,age_mean=0.00044972602,age_n=1,age_range={0.00044972602,0.00044972602},age_hpdi_95={0.00044972602,0.00044972602},age_qi_95={0.00044972602,0.00044972602}],2:0.00057762741[&age_median=0.00057762741,age_mean=0.00057762741,age_n=1,age_range={0.00057762741,0.00057762741},age_hpdi_95={0.00057762741,0.00057762741},age_qi_95={0.00057762741,0.00057762741}],3:0.00169977491[&age_median=0.00169977491,age_mean=0.00169977491,age_n=1,age_range={0.00169977491,0.00169977491},age_hpdi_95={0.00169977491,0.00169977491},age_qi_95={0.00169977491,0.00169977491}],4:0.00110854875[&age_median=0.00110854875,age_mean=0.00110854875,age_n=1,age_range={0.00110854875,0.00110854875},age_hpdi_95={0.00110854875,0.00110854875},age_qi_95={0.00110854875,0.00110854875}]
