num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.003	5.26834851138e-11
2	0.022	1.65862743296e-08
3	0.073	0.000261621158717
4	0.136	0.0416647953356
5	0.256	0.476056503715
6	0.255	0.332625203098
7	0.161	0.107854506972
8	0.068	0.0404309105661
9	0.021	0.00110550263385
10	0.005	9.39881220989e-07
11	0.0	0.0
