divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,1,1,2,2,2,3,4,3,3	0.001	0.014840091786	0:0.00717835976[&age_median=0.00717835976,age_mean=0.00717835976,age_n=1,age_range={0.00717835976,0.00717835976},age_hpdi_95={0.00717835976,0.00717835976},age_qi_95={0.00717835976,0.00717835976}],1:0.01096148954[&age_median=0.01096148954,age_mean=0.01096148954,age_n=1,age_range={0.01096148954,0.01096148954},age_hpdi_95={0.01096148954,0.01096148954},age_qi_95={0.01096148954,0.01096148954}],2:0.00183355409[&age_median=0.00183355409,age_mean=0.00183355409,age_n=1,age_range={0.00183355409,0.00183355409},age_hpdi_95={0.00183355409,0.00183355409},age_qi_95={0.00183355409,0.00183355409}],3:0.01115150052[&age_median=0.01115150052,age_mean=0.01115150052,age_n=1,age_range={0.01115150052,0.01115150052},age_hpdi_95={0.01115150052,0.01115150052},age_qi_95={0.01115150052,0.01115150052}],4:0.02890817374[&age_median=0.02890817374,age_mean=0.02890817374,age_n=1,age_range={0.02890817374,0.02890817374},age_hpdi_95={0.02890817374,0.02890817374},age_qi_95={0.02890817374,0.02890817374}]
0,1,2,3,4,5,5,1,2,0,5	0.001	0.0147592611361	0:0.00046436361[&age_median=0.00046436361,age_mean=0.00046436361,age_n=1,age_range={0.00046436361,0.00046436361},age_hpdi_95={0.00046436361,0.00046436361},age_qi_95={0.00046436361,0.00046436361}],1:0.01937837667[&age_median=0.01937837667,age_mean=0.01937837667,age_n=1,age_range={0.01937837667,0.01937837667},age_hpdi_95={0.01937837667,0.01937837667},age_qi_95={0.01937837667,0.01937837667}],2:0.00030910951[&age_median=0.00030910951,age_mean=0.00030910951,age_n=1,age_range={0.00030910951,0.00030910951},age_hpdi_95={0.00030910951,0.00030910951},age_qi_95={0.00030910951,0.00030910951}],3:0.02670015574[&age_median=0.02670015574,age_mean=0.02670015574,age_n=1,age_range={0.02670015574,0.02670015574},age_hpdi_95={0.02670015574,0.02670015574},age_qi_95={0.02670015574,0.02670015574}],4:0.0123408837[&age_median=0.0123408837,age_mean=0.0123408837,age_n=1,age_range={0.0123408837,0.0123408837},age_hpdi_95={0.0123408837,0.0123408837},age_qi_95={0.0123408837,0.0123408837}],5:0.00376871493[&age_median=0.00376871493,age_mean=0.00376871493,age_n=1,age_range={0.00376871493,0.00376871493},age_hpdi_95={0.00376871493,0.00376871493},age_qi_95={0.00376871493,0.00376871493}]
0,1,1,2,3,4,2,2,0,1,1	0.001	0.0146729890104	0:0.00033761021[&age_median=0.00033761021,age_mean=0.00033761021,age_n=1,age_range={0.00033761021,0.00033761021},age_hpdi_95={0.00033761021,0.00033761021},age_qi_95={0.00033761021,0.00033761021}],1:0.00693913047[&age_median=0.00693913047,age_mean=0.00693913047,age_n=1,age_range={0.00693913047,0.00693913047},age_hpdi_95={0.00693913047,0.00693913047},age_qi_95={0.00693913047,0.00693913047}],2:0.00341384518[&age_median=0.00341384518,age_mean=0.00341384518,age_n=1,age_range={0.00341384518,0.00341384518},age_hpdi_95={0.00341384518,0.00341384518},age_qi_95={0.00341384518,0.00341384518}],3:0.00505085449[&age_median=0.00505085449,age_mean=0.00505085449,age_n=1,age_range={0.00505085449,0.00505085449},age_hpdi_95={0.00505085449,0.00505085449},age_qi_95={0.00505085449,0.00505085449}],4:0.04307419887[&age_median=0.04307419887,age_mean=0.04307419887,age_n=1,age_range={0.04307419887,0.04307419887},age_hpdi_95={0.04307419887,0.04307419887},age_qi_95={0.04307419887,0.04307419887}]
0,1,2,3,0,4,0,4,5,6,5	0.001	0.0145813743449	0:0.00595444417[&age_median=0.00595444417,age_mean=0.00595444417,age_n=1,age_range={0.00595444417,0.00595444417},age_hpdi_95={0.00595444417,0.00595444417},age_qi_95={0.00595444417,0.00595444417}],1:0.01667864351[&age_median=0.01667864351,age_mean=0.01667864351,age_n=1,age_range={0.01667864351,0.01667864351},age_hpdi_95={0.01667864351,0.01667864351},age_qi_95={0.01667864351,0.01667864351}],2:0.02307239039[&age_median=0.02307239039,age_mean=0.02307239039,age_n=1,age_range={0.02307239039,0.02307239039},age_hpdi_95={0.02307239039,0.02307239039},age_qi_95={0.02307239039,0.02307239039}],3:0.00302974894[&age_median=0.00302974894,age_mean=0.00302974894,age_n=1,age_range={0.00302974894,0.00302974894},age_hpdi_95={0.00302974894,0.00302974894},age_qi_95={0.00302974894,0.00302974894}],4:0.00142579599[&age_median=0.00142579599,age_mean=0.00142579599,age_n=1,age_range={0.00142579599,0.00142579599},age_hpdi_95={0.00142579599,0.00142579599},age_qi_95={0.00142579599,0.00142579599}],5:0.01787779399[&age_median=0.01787779399,age_mean=0.01787779399,age_n=1,age_range={0.01787779399,0.01787779399},age_hpdi_95={0.01787779399,0.01787779399},age_qi_95={0.01787779399,0.01787779399}],6:0.01133579472[&age_median=0.01133579472,age_mean=0.01133579472,age_n=1,age_range={0.01133579472,0.01133579472},age_hpdi_95={0.01133579472,0.01133579472},age_qi_95={0.01133579472,0.01133579472}]
0,1,2,3,4,1,0,5,4,2,6	0.001	0.0144844171394	0:0.00918515648[&age_median=0.00918515648,age_mean=0.00918515648,age_n=1,age_range={0.00918515648,0.00918515648},age_hpdi_95={0.00918515648,0.00918515648},age_qi_95={0.00918515648,0.00918515648}],1:0.01011437575[&age_median=0.01011437575,age_mean=0.01011437575,age_n=1,age_range={0.01011437575,0.01011437575},age_hpdi_95={0.01011437575,0.01011437575},age_qi_95={0.01011437575,0.01011437575}],2:0.01768427571[&age_median=0.01768427571,age_mean=0.01768427571,age_n=1,age_range={0.01768427571,0.01768427571},age_hpdi_95={0.01768427571,0.01768427571},age_qi_95={0.01768427571,0.01768427571}],3:0.01288327088[&age_median=0.01288327088,age_mean=0.01288327088,age_n=1,age_range={0.01288327088,0.01288327088},age_hpdi_95={0.01288327088,0.01288327088},age_qi_95={0.01288327088,0.01288327088}],4:0.00406966815[&age_median=0.00406966815,age_mean=0.00406966815,age_n=1,age_range={0.00406966815,0.00406966815},age_hpdi_95={0.00406966815,0.00406966815},age_qi_95={0.00406966815,0.00406966815}],5:0.01569865676[&age_median=0.01569865676,age_mean=0.01569865676,age_n=1,age_range={0.01569865676,0.01569865676},age_hpdi_95={0.01569865676,0.01569865676},age_qi_95={0.01569865676,0.01569865676}],6:0.00422412949[&age_median=0.00422412949,age_mean=0.00422412949,age_n=1,age_range={0.00422412949,0.00422412949},age_hpdi_95={0.00422412949,0.00422412949},age_qi_95={0.00422412949,0.00422412949}]
0,1,2,3,4,5,4,0,0,2,2	0.001	0.0143824142018	0:0.00326773765[&age_median=0.00326773765,age_mean=0.00326773765,age_n=1,age_range={0.00326773765,0.00326773765},age_hpdi_95={0.00326773765,0.00326773765},age_qi_95={0.00326773765,0.00326773765}],1:0.00927008966[&age_median=0.00927008966,age_mean=0.00927008966,age_n=1,age_range={0.00927008966,0.00927008966},age_hpdi_95={0.00927008966,0.00927008966},age_qi_95={0.00927008966,0.00927008966}],2:0.02206689903[&age_median=0.02206689903,age_mean=0.02206689903,age_n=1,age_range={0.02206689903,0.02206689903},age_hpdi_95={0.02206689903,0.02206689903},age_qi_95={0.02206689903,0.02206689903}],3:0.02328829347[&age_median=0.02328829347,age_mean=0.02328829347,age_n=1,age_range={0.02328829347,0.02328829347},age_hpdi_95={0.02328829347,0.02328829347},age_qi_95={0.02328829347,0.02328829347}],4:0.01092265085[&age_median=0.01092265085,age_mean=0.01092265085,age_n=1,age_range={0.01092265085,0.01092265085},age_hpdi_95={0.01092265085,0.01092265085},age_qi_95={0.01092265085,0.01092265085}],5:0.00875239481[&age_median=0.00875239481,age_mean=0.00875239481,age_n=1,age_range={0.00875239481,0.00875239481},age_hpdi_95={0.00875239481,0.00875239481},age_qi_95={0.00875239481,0.00875239481}]
0,1,0,1,1,2,2,1,0,1,0	0.001	0.014275464468	0:0.00624732959[&age_median=0.00624732959,age_mean=0.00624732959,age_n=1,age_range={0.00624732959,0.00624732959},age_hpdi_95={0.00624732959,0.00624732959},age_qi_95={0.00624732959,0.00624732959}],1:0.00995328944[&age_median=0.00995328944,age_mean=0.00995328944,age_n=1,age_range={0.00995328944,0.00995328944},age_hpdi_95={0.00995328944,0.00995328944},age_qi_95={0.00995328944,0.00995328944}],2:0.00826352723[&age_median=0.00826352723,age_mean=0.00826352723,age_n=1,age_range={0.00826352723,0.00826352723},age_hpdi_95={0.00826352723,0.00826352723},age_qi_95={0.00826352723,0.00826352723}]
0,1,0,2,0,0,2,1,1,0,1	0.001	0.0141637658098	0:0.02100223441[&age_median=0.02100223441,age_mean=0.02100223441,age_n=1,age_range={0.02100223441,0.02100223441},age_hpdi_95={0.02100223441,0.02100223441},age_qi_95={0.02100223441,0.02100223441}],1:0.00242585874[&age_median=0.00242585874,age_mean=0.00242585874,age_n=1,age_range={0.00242585874,0.00242585874},age_hpdi_95={0.00242585874,0.00242585874},age_qi_95={0.00242585874,0.00242585874}],2:0.00340473079[&age_median=0.00340473079,age_mean=0.00340473079,age_n=1,age_range={0.00340473079,0.00340473079},age_hpdi_95={0.00340473079,0.00340473079},age_qi_95={0.00340473079,0.00340473079}]
0,0,1,1,2,1,3,4,4,2,1	0.001	0.0140473182273	0:0.00115983066[&age_median=0.00115983066,age_mean=0.00115983066,age_n=1,age_range={0.00115983066,0.00115983066},age_hpdi_95={0.00115983066,0.00115983066},age_qi_95={0.00115983066,0.00115983066}],1:0.00365305039[&age_median=0.00365305039,age_mean=0.00365305039,age_n=1,age_range={0.00365305039,0.00365305039},age_hpdi_95={0.00365305039,0.00365305039},age_qi_95={0.00365305039,0.00365305039}],2:0.00544181629[&age_median=0.00544181629,age_mean=0.00544181629,age_n=1,age_range={0.00544181629,0.00544181629},age_hpdi_95={0.00544181629,0.00544181629},age_qi_95={0.00544181629,0.00544181629}],3:0.00348699341[&age_median=0.00348699341,age_mean=0.00348699341,age_n=1,age_range={0.00348699341,0.00348699341},age_hpdi_95={0.00348699341,0.00348699341},age_qi_95={0.00348699341,0.00348699341}],4:0.00239860385[&age_median=0.00239860385,age_mean=0.00239860385,age_n=1,age_range={0.00239860385,0.00239860385},age_hpdi_95={0.00239860385,0.00239860385},age_qi_95={0.00239860385,0.00239860385}]
0,1,2,0,2,3,0,0,1,3,4	0.001	0.0139264185282	0:0.00913718346[&age_median=0.00913718346,age_mean=0.00913718346,age_n=1,age_range={0.00913718346,0.00913718346},age_hpdi_95={0.00913718346,0.00913718346},age_qi_95={0.00913718346,0.00913718346}],1:0.00609568913[&age_median=0.00609568913,age_mean=0.00609568913,age_n=1,age_range={0.00609568913,0.00609568913},age_hpdi_95={0.00609568913,0.00609568913},age_qi_95={0.00609568913,0.00609568913}],2:0.00305202585[&age_median=0.00305202585,age_mean=0.00305202585,age_n=1,age_range={0.00305202585,0.00305202585},age_hpdi_95={0.00305202585,0.00305202585},age_qi_95={0.00305202585,0.00305202585}],3:0.02828718928[&age_median=0.02828718928,age_mean=0.02828718928,age_n=1,age_range={0.02828718928,0.02828718928},age_hpdi_95={0.02828718928,0.02828718928},age_qi_95={0.02828718928,0.02828718928}],4:0.02083118251[&age_median=0.02083118251,age_mean=0.02083118251,age_n=1,age_range={0.02083118251,0.02083118251},age_hpdi_95={0.02083118251,0.02083118251},age_qi_95={0.02083118251,0.02083118251}]
